station_id,label,river_name,town,lat,long,status,last_updated
1029TH,Bourton Dickler,River Dikler,Little Rissington,51.874767,-1.740083,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088823
E2043,Surfleet Sluice,River Glen,Surfleet Seas End,52.845991,-0.100848,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088830
52119,Gaw Bridge,River Parrett,Kingsbury Episcopi,50.976043,-2.793549,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088832
E21136,Hemingford,River Great Ouse,Hemingford Grey,52.323618,-0.101287,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088834
2067,Swindon,Smestow Brook,Swindon,52.51274,-2.205945,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088835
48143,Penryn Trelawney Park,Praze Stream,Penryn,50.172659,-5.109416,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088836
720215,A6 Bridge,River Brock,Bilsborrow,53.858854,-2.743276,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088837
F1906,Netherside Hall,River Wharfe,Netherside Hall,54.080705,-2.024779,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088839
E8266,Ardingly,River Ouse,Ardingly,51.038451,-0.100268,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088840
1771TH,Letcombe Regis,Letcombe Brook,Letcombe Regis,51.571482,-1.449342,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088841
531118,Bradley Bridge,Bradley Brook,Winterbourne,51.521892,-2.521122,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,2025-10-02 19:00:13.088842
