@id,description,eaAreaName,eaRegionName,floodArea,floodAreaID,isTidal,message,severity,severityLevel,timeMessageChanged,timeRaised,timeSeverityChanged
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF930,Middlesbrough Becks,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF930', 'county': 'Middlesbrough, Redcar and Cleveland', 'notation': '121WAF930', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF930/polygon', 'riverOrSea': 'Middlesbrough Becks'}",121WAF930,False,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels are falling and are expected to continue to fall throughout the day. No further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T09:44:00,2025-09-21T09:44:49,2025-09-21T09:44:00
http://environment.data.gov.uk/flood-monitoring/id/floods/054WATBT1,"The tidal Rivers Bure, Ant and Thurne",East Anglia,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/054WATBT1', 'county': 'Norfolk', 'notation': '054WATBT1', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/054WATBT1/polygon', 'riverOrSea': 'Bure, Ant, Thurne'}",054WATBT1,True,"This message has been issued because some minor flooding to riverside roads and footpaths is possible this afternoon, Sunday 21st September, and for at least the next 24hrs. This is due to a natural tide locking effect, and tidal water moving up the rivers from Great Yarmouth which is restricting the normal drainage of the Broads river system out to sea at low tide. We expect to see high water levels around Potter Heigham, Wroxham boat yards and Ferry Road in Horning. We are not currently expecting the situation to escalate, or to issue any further warning messages at this time. Take care on waterside roads and footpaths, and don't put yourself in unnecessary danger. We are closely monitoring the situation. We will update this message by 10am tomorrow, Monday 22nd September, or as the situation changes.",Flood alert,3,2025-09-21T09:29:00,2025-09-21T09:29:20,2025-09-21T09:29:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF917,River Gaunless,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF917', 'county': 'County Durham', 'notation': '121WAF917', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF917/polygon', 'riverOrSea': 'River Gaunless, Oakley Cross Beck'}",121WAF917,False,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels are falling and are expected to continue to fall throughout the day. No further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T09:51:00,2025-09-21T09:51:13,2025-09-21T09:51:00
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAF408,River Wye in Derbyshire,East Midlands,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/034WAF408', 'county': 'Derbyshire', 'notation': '034WAF408', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/034WAF408/polygon', 'riverOrSea': 'River Wye'}",034WAF408,False," This Flood Alert has been removed.  
      
We continue to monitor the situation.  
To check the status of road closures online, please visit the One Network live map.",Warning no longer in force,4,2025-09-21T09:33:00,2025-09-21T09:33:07,2025-09-21T09:33:00
http://environment.data.gov.uk/flood-monitoring/id/floods/123WAF982,Wyke Beck and Meanwood Beck catchments,Yorkshire,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/123WAF982', 'county': 'Leeds', 'notation': '123WAF982', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/123WAF982/polygon', 'riverOrSea': 'Wyke Beck, Meanwood Beck'}",123WAF982,False," River levels have peaked and are falling on Wyke Beck and Meanwood Beck following heavy rainfall in the evening and overnight on Saturday 20th September 2025. No further significant rainfall is forecast for the next couple of days. River levels are expected to continue to fall throughout today and into tomorrow, 22nd September 2025, and therefore this Flood Alert is no longer in force. Please be aware that standing water may still remain on low-lying land and roads. We are closely monitoring the forecast and will issue further flood alerts and warnings if required over the next few days.",Warning no longer in force,4,2025-09-21T09:25:00,2025-09-21T09:25:39,2025-09-21T09:25:00
http://environment.data.gov.uk/flood-monitoring/id/floods/123WAF985,Ings Beck and Oakenshaw Beck,Yorkshire,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/123WAF985', 'county': 'Leeds, Wakefield', 'notation': '123WAF985', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/123WAF985/polygon', 'riverOrSea': 'Ings Beck, Alverthorpe Beck, Balne Beck, Oakenshaw Beck'}",123WAF985,False," River levels have peaked and are falling on Ings Beck and Oakenshaw Beck following heavy rainfall in the evening and overnight on Saturday 20th September 2025. No further significant rainfall is forecast for the next couple of days. River levels are expected to continue to fall throughout today and into tomorrow, 22nd September 2025, and therefore this Flood Alert is no longer in force. Please be aware that standing water may still remain on low-lying land and roads. We are closely monitoring the forecast and will issue further flood alerts and warnings if required over the next few days.",Warning no longer in force,4,2025-09-21T09:25:00,2025-09-21T09:25:47,2025-09-21T09:25:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF918,Coastal rivers in North Northumberland,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF918', 'county': 'Northumberland', 'notation': '121WAF918', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF918/polygon', 'riverOrSea': 'River Aln, Warren Burn'}",121WAF918,False,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels are falling and are expected to continue to fall throughout the day. No further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T09:28:00,2025-09-21T09:28:49,2025-09-21T09:28:00
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAF430,River Maun in Nottinghamshire,East Midlands,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/034WAF430', 'county': 'Nottinghamshire', 'notation': '034WAF430', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/034WAF430/polygon', 'riverOrSea': 'River Maun'}",034WAF430,False,"River levels have risen at the at Whitewater Bridge Gauge as a result of heavy rainfall. Areas most at risk are low-lying agricultural land and roads around Mansfield, the Sherwood Forest Caravan Park at Clipstone, Edwinstowe, Ollerton, Whitewater Lane at Whitewater Bridge and West Drayton. No further rainfall is forecast. River levels at Whitewater Bridge Gauge will remain high until this afternoon, 21/09/25. 
We are closely monitoring the situation.  
Please avoid using low-lying footpaths near local watercourses and plan driving routes to avoid low-lying roads near rivers, which may be flooded.  
To check the status of road closures online, please visit the One Network live map.
This message will be updated by 17:00 today 21/09/25, or as the situation changes.",Flood alert,3,2025-09-21T09:38:00,2025-09-21T09:38:36,2025-09-21T09:38:00
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF982,River Rye catchment,Yorkshire,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF982', 'county': 'North Yorkshire', 'notation': '122WAF982', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF982/polygon', 'riverOrSea': 'River Rye'}",122WAF982,False,"Rising river levels as a result of rainfall, may lead to flooding. Flooding is possible today, Sunday 21/09/2025. 
Flooding is forecast to affect locations near the River Rye Catchment, with low lying land and roads expected to be most affected, particularly around Land around the River Rye and it's tributaries, including Ralsdale Beck, River Seph, Ledge Beck, Fangdale Beck, Prodale Beck, Ladhill Beck, Etton Gill, Borough Beck, Spittle Beck, including properties of Salton, Nunnington and Helmsley. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. 
This message will be updated by 11:00PM on Sunday, 21/09/25, or as the situation changes. 
",Flood alert,3,2025-09-21T10:48:00,2025-09-21T10:48:15,2025-09-20T20:33:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF924,Upper River Tees,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF924', 'county': 'County Durham, Darlington, North Yorkshire, Westmorland and Furness', 'notation': '121WAF924', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF924/polygon', 'riverOrSea': 'River Tees'}",121WAF924,False,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels are falling and are expected to continue to fall throughout the day. No further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T09:28:00,2025-09-21T09:28:58,2025-09-21T09:28:00
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF980,River Seven catchment,Yorkshire,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF980', 'county': 'North Yorkshire', 'notation': '122WAF980', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF980/polygon', 'riverOrSea': 'River Seven'}",122WAF980,False,"Rising river levels may lead to flooding as a result of recent heavy rain. Flooding is possible today, Sunday, 21/09/2025.
Flooding is forecast to affect locations near the River Seven, with low lying land and roads expected to be most affected, particularly land around the River Seven and it's tributaries including Northdale Beck, Hartoft Beck, Ings Beck, Lastingham Beck, Sutherland Beck, Cropton Beck, Catter Beck, including properties in Sinnington and to the East of Normanby. 
We are closely monitoring the situation and liaising with emergency services and local authorities. Avoid using low lying footpaths and any bridges near local watercourses. 
This message will be updated by 11:00PM on Sunday, 21/09/25, or as the situation changes. 
",Flood alert,3,2025-09-21T10:51:00,2025-09-21T10:51:41,2025-09-20T20:25:00
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF938,River Wiske and other tributaries of the River Swale,Yorkshire,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF938', 'county': 'North Yorkshire', 'notation': '122WAF938', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/122WAF938/polygon', 'riverOrSea': 'River Wiske, Brompton Beck, Cod Beck, North Beck, Willow Beck, Sun Beck, Winton Beck'}",122WAF938,False,The situation is improving and river levels have fallen below levels of concern. We continue to monitor the forecast and we will re-issue this message If needed. Please continue to exercise care.,Warning no longer in force,4,2025-09-21T10:19:00,2025-09-21T10:19:31,2025-09-21T10:19:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF927,River Leven,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF927', 'county': 'Middlesbrough, North Yorkshire, Redcar and Cleveland, Stockton-on-Tees', 'notation': '121WAF927', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF927/polygon', 'riverOrSea': 'River Leven'}",121WAF927,False,"River levels remain high upstream of Stokesley following heavy rainfall on 20/09/2025 but will continue to fall slowly throughout today, 21/09/2025.  

Areas most at risk include riverside footpaths and low-lying land and roads near River Leven upstream of Stokesley.  

Weather conditions have improved overnight, and no further flooding is expected. 
We are closely monitoring the situation and clearing debris from weed screens. 
Avoid using low lying footpaths and any bridges near local watercourses. 
This message will be updated by 17:00 PM on 21/09/2025, or as the situation changes. ",Flood alert,3,2025-09-21T10:17:00,2025-09-21T10:17:44,2025-09-20T19:16:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAF925,Lower River Tees and estuarine tributaries,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF925', 'county': 'County Durham, Darlington, Hartlepool, Middlesbrough, North Yorkshire, Stockton-on-Tees', 'notation': '121WAF925', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAF925/polygon', 'riverOrSea': 'River Tees'}",121WAF925,False,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels will continue to rise slowly throughout the morning before falling after midday however no further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T10:28:00,2025-09-21T10:28:21,2025-09-21T10:28:00
http://environment.data.gov.uk/flood-monitoring/id/floods/121WAC922,Tyne and Wear coast,North East,No longer used,"{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAC922', 'county': 'County Durham, Hartlepool, North Tyneside, South Tyneside, Sunderland', 'notation': '121WAC922', 'polygon': 'http://environment.data.gov.uk/flood-monitoring/id/floodAreas/121WAC922/polygon', 'riverOrSea': 'North Sea'}",121WAC922,True,"The heavy rain from yesterday cleared the area in the early hours of the morning and no further rain is forecast today, 21/09/2025. River levels are falling and are expected to continue to fall throughout the day. No further flooding to fields and roads is expected, but there may still be some areas where flood water is present until it can naturally drain away. Continue to take care on riverside roads and footpaths and don't put yourself in unnecessary danger.",Warning no longer in force,4,2025-09-21T09:59:00,2025-09-21T09:59:54,2025-09-21T09:59:00
