@id,RLOIid,catchmentName,dateOpened,datumOffset,downstageScale,easting,gridReference,label,lat,long,measures,northing,notation,riverName,stageScale,stationReference,status,town,wiskiID
http://environment.data.gov.uk/flood-monitoring/id/stations/1029TH,7041,Cotswolds,1994-01-01,,,417990,,Bourton Dickler,51.874767,-1.740083,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/1029TH-level-downstage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Downstream Stage', 'unitName': 'mASD'}, {'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/1029TH-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",219610,1029TH,River Dikler,http://environment.data.gov.uk/flood-monitoring/id/stations/1029TH/stageScale,1029TH,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Little Rissington,1029TH
http://environment.data.gov.uk/flood-monitoring/id/stations/E2043,6022,Welland,1992-01-01,2,,528000,,Surfleet Sluice,52.845991,-0.100848,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/E2043-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",329300,E2043,River Glen,http://environment.data.gov.uk/flood-monitoring/id/stations/E2043/stageScale,E2043,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Surfleet Seas End,L31004
http://environment.data.gov.uk/flood-monitoring/id/stations/52119,3072,"Parrett, Brue and West Somerset Streams",1997-01-01,10,,344383,,Gaw Bridge,50.976043,-2.793549,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/52119-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",119926,52119,River Parrett,http://environment.data.gov.uk/flood-monitoring/id/stations/52119/stageScale,52119,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Kingsbury Episcopi,520320_FW
http://environment.data.gov.uk/flood-monitoring/id/stations/E21136,6177,Upper and Bedford Ouse,1996-10-01,6.3,,529500,TL2947271118,Hemingford,52.323618,-0.101287,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/E21136-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",271200,E21136,River Great Ouse,http://environment.data.gov.uk/flood-monitoring/id/stations/E21136/stageScale,E21136,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Hemingford Grey,L33865
http://environment.data.gov.uk/flood-monitoring/id/stations/2067,2032,Worcestershire Middle Severn,1976-04-06,,,386120,,Swindon,52.51274,-2.205945,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/2067-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",290560,2067,Smestow Brook,http://environment.data.gov.uk/flood-monitoring/id/stations/2067/stageScale,2067,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Swindon,2067
http://environment.data.gov.uk/flood-monitoring/id/stations/48143,3158,Fal and St Austell Streams,2000-01-28,13,,178065,,Penryn Trelawney Park,50.172659,-5.109416,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/48143-level-downstage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Downstream Stage', 'unitName': 'mASD'}]",34920,48143,Praze Stream,http://environment.data.gov.uk/flood-monitoring/id/stations/48143/stageScale,48143,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Penryn,S19726_FW
http://environment.data.gov.uk/flood-monitoring/id/stations/720215,5022,Lune and Wyre,1977-01-01,,,351210,,A6 Bridge,53.858854,-2.743276,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/720215-level-stage-i-15_min-m', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'm'}]",440550,720215,River Brock,http://environment.data.gov.uk/flood-monitoring/id/stations/720215/stageScale,720215,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Bilsborrow,720215
http://environment.data.gov.uk/flood-monitoring/id/stations/F1906,8276,Wharfe and Lower Ouse,2001-07-11,,,398476,SD9847664978,Netherside Hall,54.080705,-2.024779,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/F1906-flow-logged-i-15_min-m3_s', 'parameter': 'flow', 'parameterName': 'Flow', 'period': 900, 'qualifier': 'Logged', 'unitName': 'm3/s'}, {'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/F1906-level-stage-i-15_min-m', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'm'}]",464978,F1906,River Wharfe,http://environment.data.gov.uk/flood-monitoring/id/stations/F1906/stageScale,F1906,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Netherside Hall,F1906
http://environment.data.gov.uk/flood-monitoring/id/stations/E8266,1152,Ouse,1981-05-01,,,533288,TQ3328828283,Ardingly,51.038451,-0.100268,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/E8266-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",128283,E8266,River Ouse,http://environment.data.gov.uk/flood-monitoring/id/stations/E8266/stageScale,E8266,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Ardingly,352835027
http://environment.data.gov.uk/flood-monitoring/id/stations/1771TH,7080,Vale of White Horse,1991-01-01,,,438260,,Letcombe Regis,51.571482,-1.449342,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/1771TH-level-stage-i-15_min-mASD', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'mASD'}]",185990,1771TH,Letcombe Brook,http://environment.data.gov.uk/flood-monitoring/id/stations/1771TH/stageScale,1771TH,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Letcombe Regis,1771TH
http://environment.data.gov.uk/flood-monitoring/id/stations/531118,3411,Bristol Avon Little Avon Axe and North Somerset St,2009-07-24,,,363940,ST6394080460,Bradley Bridge,51.521892,-2.521122,"[{'@id': 'http://environment.data.gov.uk/flood-monitoring/id/measures/531118-level-stage-i-15_min-m', 'parameter': 'level', 'parameterName': 'Water Level', 'period': 900, 'qualifier': 'Stage', 'unitName': 'm'}]",180460,531118,Bradley Brook,http://environment.data.gov.uk/flood-monitoring/id/stations/531118/stageScale,531118,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Winterbourne,530260
